,과목명,학수번호,분반,학점,담당교수,강의시간,종류,영역
96,전쟁과인간,0ARG1061,2,2.0,노혜경,화1~2,일반교양,1.0
97,스타일과트렌드(A),0ARG1088,2,2.0,이철재,화5~6,일반교양,1.0
98,에어로빅댄스와유산소운동이해,0ARG1089,2,2.0,이경주,수5~6,일반교양,1.0
99,퍼스널트레이닝과바디세이핑,0ARG1090,2,2.0,김경식,화5~6,일반교양,1.0
100,미래사회와협상의기술,0ARG1097,2,2.0,조상섭,목7~8,일반교양,1.0
101,알기쉬운인간의이해,0ARG1136,2,2.0,이만수,목7~8,일반교양,1.0
102,심신균형미학과요가필라,0ARG1152,2,2.0,이경주,화5~6,일반교양,1.0
103,생각정리의기술,0ARG1237,2,2.0,전영미,목5~6,일반교양,1.0
104,근대예술의이해:마네에서달리까지,0ARG1246,2,2.0,브라이언,화1~2,일반교양,1.0
105,한국고전시가의산책,0ARG1249,2,2.0,이정선,수5~6,일반교양,1.0
106,전쟁과평화,0ARG1250,2,2.0,정재욱,수7~8,일반교양,1.0
107,인간과아름다움,0ARG1262,2,2.0,장동석,월3~4,일반교양,1.0
108,티볼이론과실제,0ARG1263,2,2.0,유상석,월6~7,일반교양,1.0
109,한국아동문학의이해,0ARG1265,2,2.0,김찬곤,화5~6,일반교양,1.0
110,광고심리학,0ARG1278,2,2.0,다니엘와이버그,화3~4,일반교양,1.0
111,문화적다양성과공존의지혜,0ARG1308,2,2.0,정영기,월7~8,일반교양,1.0
112,노화와신체활동,0ARG1318,2,2.0,이준우,금2~3,일반교양,1.0
113,스토리텔링의인문학적이해,0ARG1322,2,2.0,전하영,화4~5,일반교양,1.0
114,이야기로배우는영어,0ARG1324,2,2.0,전하영,목3~4,일반교양,1.0
115,수학자로소통하기,0ARG1337,2,2.0,이형주,화5~6,일반교양,1.0
116,창의적인사고와시각문화예술,0ARG1339,2,2.0,피터안토니,화5~6,일반교양,1.0
117,서양영화를통한21세기사회의이해,0ARG1344,2,2.0,조나단 레이커,수3~4,일반교양,1.0
118,대학생활의이해,0ARG1346,2,2.0,김지나,목5~6,일반교양,1.0
119,실용생활중국어,0ARB5660,3,2.0,치아오 춘옌,월3~4,일반교양,1.0
120,금융의이해와활용,0ARG1198,1,3.0,이소영,화5~7,일반교양,2.0
121,생태적관점의평화교육,0ARG1301,1,2.0,박미경,수5~6,일반교양,2.0
122,한국어듣기,0ARG1079,2,2.0,정다정,화7~8,일반교양,2.0
123,한국어말하기1,0ARG1080,2,2.0,윤은영,수1~2,일반교양,2.0
124,한국어말하기2,0ARG1081,2,2.0,김승자,월3~4,일반교양,2.0
125,한국어쓰기,0ARG1082,2,2.0,윤은영,수5~6,일반교양,2.0
126,리더십(벤처),0ARG1143,2,2.0,곽정근,월7~8,일반교양,2.0
127,현대사회와인간복지,0ARB0150,2,2.0,김형수,금3~4,일반교양,2.0
128,생활법률,0ARB0300,2,2.0,정영훈,금2~3,일반교양,2.0
129,경영학기초,0ARB1221,2,2.0,박설호,화2~3,일반교양,2.0
130,현대통상의이해,0ARB1900,2,2.0,이상직,수3~4,일반교양,2.0
131,서양중세문화,0ARB2450,2,2.0,문윤덕,수6~7,일반교양,2.0
132,중국의문화코드,0ARB2590,2,2.0,전가림,수4~5,일반교양,2.0
133,영미문화의이해,0ARB6760,2,2.0,다니엘베리,화1~2,일반교양,2.0
134,중국경제지리,0ARB9015,2,2.0,전가림,목4~5,일반교양,2.0
135,기업가정신,0ARB9510,2,2.0,최인우,수5~6,일반교양,2.0
136,경제의기초와생활,0ARG1005,2,2.0,이상직,수5~6,일반교양,2.0
137,이야기형법,0ARG1035,2,2.0,정영훈,목2~3,일반교양,2.0
138,현대사회와패션문화,0ARG1083,2,2.0,안은재,화7~8,일반교양,2.0
139,국기태권도,0ARG1091,2,2.0,김인재,목5~6,일반교양,2.0
140,뉴스포츠의이론과실제,0ARG1092,2,2.0,유상석,화6~7,일반교양,2.0
141,탁구이론과실제,0ARG1093,2,2.0,유상석,월4~5,일반교양,2.0
142,테니스이론과실제,0ARG1094,2,2.0,최경범,목5~6,일반교양,2.0
143,골프문화의이해,0ARG1106,2,2.0,이준우,수7~8,일반교양,2.0
